ID,Vcmax,Jmax,Rd,Vcmax_SE,Jmax_SE,Rd_SE,Vcmax25,Jmax25,Rd25,Vcmax25-SE,Jmax25-SE,Rd25-SE
116_lower,98.84298759,88.69597147,-2.755104208,138.5387743,23.10282746,4.086852703,96.93638077,85.40281822,-2.099645745,25.88112054,NA,2.430393634
116_upper,120.8849709,120.6275969,-2.381084711,83.36270264,21.19405114,3.534992379,120.3630667,119.7343901,-2.459579121,85.75515553,21.72649083,3.646753872
117_lower,102.3088199,136.8074153,2.665407252,4.408992072,2.905186054,0.472669242,75.09810364,115.8201569,2.601416755,3.533206658,2.670833798,0.512078921
117_upper,66.84957888,102.7634856,1.947495537,6.869875702,5.317821146,0.942677964,68.01508891,102.4107507,2.041613082,8.236294407,5.876033266,1.06370082
202_lower,62.2198428,90.22293574,1.863204999,3.511511345,2.294620613,0.404298555,64.1352151,91.88909694,2.158849196,3.306785752,2.154705457,0.38111905
208_lower,102.2009514,149.7212125,2.054133013,6.671240069,4.468473265,0.716382724,84.91701273,137.1278904,2.031120571,4.575104985,3.370135241,0.591235206
208_upper,87.91174849,139.1369068,2.61667382,3.915827248,2.802977494,0.465949336,86.67779691,138.8682709,2.571585984,3.303491696,2.378893197,0.397248944
209_upper,86.98944275,126.8249978,0.174298066,9.072863924,6.986949017,1.106760304,59.65010516,105.628183,0.100572215,6.185670985,5.834970862,1.102866704
301_lower,77.05024764,109.4434133,2.551221072,7.367049331,4.68912866,0.815365984,75.07681433,105.4300898,2.644354492,6.441147601,4.005857508,0.728767041
301_upper,86.49177086,111.3200165,0.82497867,18.22914563,9.552998445,1.638177518,87.38141017,111.7058491,0.900821796,17.50470561,9.156723491,1.568066658
403_upper,74.08155988,117.9139995,2.360674006,4.865350309,3.561495176,0.613686734,70.85495494,115.8113616,2.5174365,4.96036518,3.741676657,0.664050351
408_upper,222.9852935,89.94819059,-8.456718879,326.3870676,,4.441903653,104.4461803,86.40766453,-9.206177089,268.0034911,24.99925572,3.537254719
422_lower,254.1768816,131.1917318,-2.795492933,91.50766508,,3.582209153,206.2545887,117.2065821,-2.795492933,91.50766508,,3.582209153
501_lower,62.13974371,100.6005019,1.491033695,6.347192768,5.624004088,1.05545532,60.96612646,98.98743427,1.291914599,5.887084973,5.188129468,0.979603666
501_upper,74.39780142,116.9939498,1.701463317,4.057817958,2.949039789,0.511960881,74.68373084,116.8439243,1.696341287,4.018494032,2.905529787,0.50465134
513_upper,57.22671769,91.09690444,1.513376208,7.307576551,6.086922027,1.092098254,57.50887616,91.07928522,1.500203919,7.16855704,5.880019242,1.055569584
523_lower,63.29102743,102.5792842,1.928730479,4.214917289,3.617915398,0.64334593,63.53822055,101.97762,1.896350355,4.481628422,3.750912154,0.671407174
523_upper,77.58417466,119.4048122,2.411804961,5.113662964,4.557768459,0.780458633,69.93343585,113.1308601,2.398812586,4.624747513,4.342705104,0.784023959
R3out_lower,101.9970316,133.323614,2.570574159,13.23160524,7.74642779,1.299939813,91.39836134,127.6874553,2.762463419,11.15023241,7.259705041,1.276353141
R3out_upper,83.31130651,118.9008899,2.344532494,2.288854731,1.413589283,0.240294835,81.75700951,119.4112962,2.547024165,2.167622667,1.381516897,0.236737465
R6out1_lower,47.96933518,109.9942262,2.669921682,2.298201057,2.632172334,0.454088641,44.74823311,106.5489914,2.655614192,2.27672456,2.704713443,0.481538004
R6out1_upper,60.86263533,107.7861463,2.489181134,1.211468965,1.069561885,0.179868563,47.24001163,93.96002402,2.494229206,0.811642531,0.804743177,0.155312758
R6out2_lower,63.54699259,103.7823985,2.733341112,4.048777065,3.885414033,0.696665113,62.72056587,103.837168,2.719263077,3.672479273,3.653138207,0.65151903
R6out2_upper,74.98344276,116.3460539,3.112442857,1.145415122,0.861236563,0.148537007,65.38885097,106.4988177,3.101009828,1.381497691,1.088669746,0.205004394
